score,n_species,measure,tables,primary,review,indexed,id,cite,year,authors,title,journal,doi,groups,pdf,chars
29.5,1,56,6,7,0,True,5782,Klekamp 1994,1994,"Klekamp, J.; Riedel, A.; Harper, C.; +1",Morphometric study on the postnatal growth of the visual cortex of Australian aborigines and Caucasians,J Hirnforsch,,V1 vol interindiv,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4289552074/klekamp_etal_1994.pdf,34556
29.2,9,7,1,0,1,True,1163,Hare 2012,2012,"Hare, Brian; Wobber, Victoria; Wrangham, Richard",The self-domestication hypothesis: evolution of bonobo psychology is due to selection against aggression,Anim Behav,10.1016/j.anbehav.2011.12.007,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1815320763/Hare-2012-The self-domesticati.pdf,103376
29.2,0,71,6,5,0,True,1632,Rehkamper 2008,2008,"Rehkamper, G.; Frahm, H. D.; Cnotka, J.",Mosaic evolution and adaptive brain component alteration under domestication seen on the background of evolutionary theory,Brain Behav Evol,10.1159/000111458,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3831743330/rehkamper_etal_2008.pdf,50471
29.2,0,83,3,8,0,True,6783,Huttenlocher 1997,1997,"Huttenlocher, P. R.; Dabholkar, A. S.",Regional differences in synaptogenesis in human cerebral cortex,J Comp Neurol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0786012299/huttenocher_dabholkar_1997.pdf,48024
29.0,9,6,0,1,0,True,5470,Stephan 1986,1986,"Stephan, H.; Baron, G.; Frahm, H. D.; +1",[Comparison of the size of brains and brain structures of mammals],Z Mikrosk Anat Forsch,,Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3332520847/stephan_etal_1986.pdf,59767
29.0,0,104,1,3,0,True,2310,Latimer 1965,1965,"Latimer, H. B.",Changes in the relative organ weights in the fetal dog,Anat Rec (Hoboken),10.1002/ar.1091530412,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0307164213/Latimer-1965-Changes in the relat.pdf,28851
28.8,0,91,2,6,0,True,6002,Dougherty 2003,2003,"Dougherty, R. F.; Koch, V. M.; Brewer, A. A.; +3",Visual field representations and locations of visual areas V1/2/3 in human visual cortex,J Vis,10.1167/3.10.1,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1810024745/Dougherty-2003-Visual field represe.pdf,46797
28.5,0,76,6,1,0,True,299,Holliday 1971,1971,"Holliday, M. A.",Metabolic rate and organ size during growth from infancy to maturity and during late gastation and early infancy,Pediatrics,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3926934886/holliday_1971.pdf,31294
28.2,0,29,4,62,0,True,987,Quester 1997,1997,"Quester, R.; Schroder, R.",The shrinkage of the human brain stem during formalin fixation and embedding in paraffin,J Neurosci Methods,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3602854902/quester_schroder_1997.pdf,32634
28.0,5,26,3,4,0,True,1087,Malenky 1991,1991,"Malenky, R. K.; Stiles, E. W.","Distribution of Terrestrial Herbaceous Vegetation and Its Consumption by Pan-Paniscus in the Lomako Forest, Zaire",Am J Primatol,10.1002/ajp.1350230303,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0372004513/Malenky-1991-Distribution of Terr.pdf,52617
27.2,1,61,2,12,0,True,1140,Yopak 2007,2007,"Yopak, K. E.; Lisney, T. J.; Collin, S. P.; +1",Variation in brain organization and cerebellar foliation in chondrichthyans: sharks and holocephalans,Brain Behav Evol,10.1159/000100037,brain structure size scaling; cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3650257834/Yopak_etal_2007.pdf,80059
27.0,0,136,1,3,6,True,7813,Mackes 2020,2020,"Mackes, N. K.; Golm, D.; Sarkar, S.; +6",Early childhood deprivation is associated with alterations in adult brain structure despite subsequent environmental enrichment,Proc Natl Acad Sci U S A,10.1073/pnas.1911264116,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2993560621/Mackes-2020-Early childhood deprivation is ass.pdf,68583
26.8,7,23,0,0,0,True,1713,McGuire 2011,2011,"McGuire, L. P.; Ratcliffe, J. M.","Light enough to travel: migratory bats have smaller brains, but not larger hippocampi, than sedentary species",Biol Lett,10.1098/rsbl.2010.0744,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1455252832/McGuire-2011-Light enough to trav.pdf,19194
26.8,8,9,1,0,1,True,1139,Weisbecker 2010,2010,"Weisbecker, V.; Goswami, A.","Brain size, life history, and metabolism at the marsupial/placental dichotomy",Proc Natl Acad Sci U S A,10.1073/pnas.0906486107,brain structure size scaling,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1578037126/Weisbecker-2010-Brain size, life his.pdf",47319
26.8,2,63,1,9,1,True,6305,Weaver 2005,2005,"Weaver, A. H.",Reciprocal evolution of the cerebellum and neocortex in fossil humans,Proc Natl Acad Sci U S A,10.1073/pnas.0500692102,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3792738899/weaver_2005.pdf,33776
26.8,0,89,3,2,1,True,229,Konarzewski 2000,2000,"Konarzewski, M.; Gavin, A.; McDevitt, R.; +1",Metabolic and organ mass responses to selection for high growth rates in the domestic chicken (Gallus domesticus),Physiol Biochem Zool,10.1086/316729,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1395405989/Konarzewski-2000-Metabolic and organ.pdf,55883
26.8,2,37,4,11,0,True,910,Dehay 1996,1996,"Dehay, C.; Giroud, P.; Berland, M.; +2","Contribution of thalamic input to the specification of cytoarchitectonic cortical fields in the primate: effects of bilateral enucleation in the fetal monkey on the boundaries, dimensions, and gyrification of striate and extrastriate cortex",J Comp Neurol,10.1002/(SICI)1096-9861(19960325)367:1<70::AID-CNE6>3.0.CO;2-G,V1 vol interindiv,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3279244727/Dehay-1996-Contribution of thalamic input to t.pdf,66669
26.8,2,33,3,16,0,True,899,Jacobs 1995,1995,"Jacobs, B.; Chugani, H. T.; Allada, V.; +4",Developmental changes in brain metabolism in sedated rhesus macaques and vervet monkeys revealed by positron emission tomography,Cereb Cortex,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2003980519/Jacobs-1995-Developmental change.pdf,73190
26.5,3,64,1,0,0,True,9469,Savage 2007,2007,"Savage, V. M.; West, G. B.","A quantitative, theoretical framework for understanding mammalian sleep",Proc Natl Acad Sci U S A,10.1073/pnas.0610080104,sleep and AI etc,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3172685942/Savage-2007-A quantitative, theoretical framew.pdf",45059
26.5,2,10,2,32,0,True,2869,Ashwell 2004,2004,"Ashwell, K. W.; Hardman, C.; Paxinos, G.",The claustrum is not missing from all monotreme brains,Brain Behav Evol,10.1159/000080243,claustrum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0428674781/ashwell_etal_2004.pdf,55972
26.5,1,10,4,70,0,True,8157,Anton 1997,1997,"Anton, S. C.","Developmental age and taxonomic affinity of the Mojokerto child, Java, Indonesia",Am J Phys Anthropol,10.1002/(SICI)1096-8644(199704)102:4<497::AID-AJPA6>3.0.CO;2-P,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1007277213/anton_1997.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4057784569/Anton-1997-Developmental age and taxonomic aff.pdf,138695
26.5,0,88,2,3,0,True,7025,Fox 1986,1986,"Fox, J. H.; Wilczynski, W.",Allometry of major CNS divisions: towards a reevaluation of somatic brain-body scaling,Brain Behav Evol,10.1159/000118700,Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0424497417/Fox-1986-Allometry of major C.pdf,37437
26.2,0,73,2,10,0,True,7809,Sultan 1993,1993,"Sultan, F.; Braitenberg, V.",Shapes and sizes of different mammalian cerebella. A study in quantitative comparative neuroanatomy,J Hirnforsch,,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3443009599/Sultan_ Braitenberg_1993.pdf,52927
26.0,4,2,1,24,0,True,2305,Hakeem 2009,2009,"Hakeem, A. Y.; Sherwood, C. C.; Bonar, C. J.; +3",Von Economo neurons in the elephant brain,Anat Rec (Hoboken),10.1002/ar.20829,VENs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0017091749/Hakeem-2009-Von Economo neurons.pdf,26124
26.0,2,40,6,4,1,True,2161,Kruska 1974,1974,"Kruska, D.; Rohrs, M.",Comparative--quantitative investigations on brains of feral pigs from the Galapagos Islands and of European domestic pigs,Z Anat Entwicklungsgesch,10.1007/bf00518633,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0242660715/Kruska-1974-Comparative--quantit.pdf,40800
25.8,5,9,0,17,0,True,2814,Padberg 2007,2007,"Padberg, J.; Franca, J. G.; Cooke, D. F.; +5",Parallel evolution of cortical areas involved in skilled hand use,J Neurosci,10.1523/JNEUROSCI.2632-07.2007,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3331395914/Padberg-2007-Parallel evolution o.pdf,51564
25.8,0,19,4,34,0,True,992,Gilboe 1973,1973,"Gilboe, D. D.; Betz, A. L.",Oxygen uptake in the isolated canine brain,Am J Physiol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2362825621/gilboe_betz_1973.pdf,49245
25.5,3,48,1,6,0,True,638,Xu 2002,2002,"Xu, X.; Bonds, A. B.; Casagrande, V. A.","Modeling receptive-field structure of koniocellular, magnocellular, and parvocellular LGN cells in the owl monkey (Aotus trivigatus)",Vis Neurosci,,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1782280524/xu_etal_2002.pdf,43418
25.5,6,16,2,1,0,True,1963,Kruska 1988,1988,"Kruska, D.",Effects of domestication on brain structure and behavior in mammals,Hum Evol,10.1007/bf02436333,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3467102720/Kruska-1988-Effects of domestica.pdf,43541
25.5,0,40,7,10,0,True,1856,Scholtz 1981,1981,"Scholtz, C. L.; Swettenham, K.; Brown, A.; +1","A histoquantitative study of the striate cortex and lateral geniculate body in normal, blind and demented subjects",Neuropathol Appl Neurobiol,10.1111/j.1365-2990.1981.tb00080.x,V1 vol interindiv,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2995399523/scholtz_etal_1981.pdf,30623
25.2,8,5,0,0,0,True,8322,Morton 2021,2021,"Morton, F. B.",Do wild raccoons (Procyon lotor) use tools?,Anim Cogn,10.1007/s10071-020-01430-y,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2044897755/Morton-2021-Do wild raccoons (Procyon lotor) u.pdf,47713
25.2,3,15,5,10,0,True,2159,Pirlot 1982,1982,"Pirlot, P.; Kamiya, T.","Relative Size of Brain and Brain Components in 3 Gliding Placentals (Dermoptera, Rodentia)",Can J Zool,10.1139/Z82-084,brain structure size data; Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2525454516/Pirlot-1982-Relative Size of Bra.pdf,37740
25.2,3,7,11,0,2,True,3093,Dewsbury 1981,1981,"Dewsbury, D. A.",An exercise in the prediction of monogamy in the field from laboratory data on 42 species of muroid rodents,Biologist,,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2954001201/Dewsbury_1981.pdf,60198
25.0,0,40,8,8,1,True,2797,Tanriover 2004,2004,"Tanriover, N.; Rhoton, A. L., Jr.; Kawashima, M.; +2",Microsurgical anatomy of the insula and the sylvian fissure,J Neurosurg,10.3171/jns.2004.100.5.0891,insula,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0680007056/tanriover_etal_2004.pdf,136655
25.0,3,52,2,0,0,True,1683,Kelt 2001,2001,"Kelt, D. A.; Van Vuren, D. H.",The ecology and macroecology of mammalian home range area,Am Nat,10.1086/320621,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2493986180/Kelt-2001-The ecology and macr.pdf,39284
25.0,1,76,1,3,0,True,7585,Matochik 2000,2000,"Matochik, J. A.; Chefer, S. I.; Lane, M. A.; +5",Age-related decline in striatal volume in monkeys as measured by magnetic resonance imaging,Neurobiol Aging,10.1016/s0197-4580(00)00134-2,catarrhine aging brain structure data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0242595422/Matochik-2000-Age-related decline in striatal.pdf,29557
25.0,6,6,1,10,1,True,1799,Harting 1991,1991,"Harting, J. K.; Huerta, M. F.; Hashikawa, T.; +1",Projection of the mammalian superior colliculus upon the dorsal lateral geniculate nucleus: organization of tectogeniculate pathways in nineteen species,J Comp Neurol,10.1002/cne.903040210,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1201162069/Harting-1991-Projection of the ma.pdf,111128
24.8,1,81,0,5,1,True,5892,Harrison 2002,2002,"Harrison, K. H.; Hof, P. R.; Wang, S. S.",Scaling laws in the mammalian neocortex: does form provide clues to function?,J Neurocytol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2491933048/harrison_etal_2002.pdf,49995
24.8,2,53,2,5,0,True,2133,Slomianka 1989,1989,"Slomianka, L.; West, M. J.",Comparative quantitative study of the hippocampal region of two closely related species of wild mice: interspecific and intraspecific variations in volumes of hippocampal components,J Comp Neurol,10.1002/cne.902800405,Hippocampus regions,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2594756240/Slomianka-1989-Comparative quantita.pdf,48277
24.5,2,36,3,14,2,True,950,Taylor 2007,2007,"Taylor, A. B.; van Schaik, C. P.",Variation in brain size and ecology in Pongo,J Hum Evol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0575705360/taylor_vanschaik_2007.pdf,72307
24.2,1,79,0,3,0,True,1124,Herculano-Houzel 2012,2012,"Herculano-Houzel, S.","The remarkable, yet not extraordinary, human brain as a scaled-up primate brain and its associated cost",Proc Natl Acad Sci U S A,10.1073/pnas.1201895109,brain structure metabolism data for comparing,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2766964526/Herculano-Houzel-2012-The remarkable, yet.pdf",58081
24.2,7,1,0,6,0,True,818,Stepniewska 2000,2000,"Stepniewska, I.; Ql, H. X.; Kaas, J. H.",Projections of the superior colliculus to subdivisions of the inferior pulvinar in New World and Old World monkeys,Vis Neurosci,,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2551743279/stepniewska_etal_2000.pdf,66706
24.2,5,37,0,0,0,True,1614,Kruska 1987,1987,"Kruska, D.",How fast can total brain size change in mammals?,J Hirnforsch,,brain structure size domestication,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0062299852/Kruska 1987 How fast can.pdf,49726
24.2,0,41,1,25,0,True,3089,Jansen 1952,1952,"Jansen, J.",On the whale brain with special reference to the weight of the finn whale (Balaenoptera physalus),Norsk Hvalfangst-tidende,,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2773422093/jansen_1952.pdf,30133
24.0,1,78,0,3,0,True,7557,Finnema 2016,2016,"Finnema, S. J.; Nabulsi, N. B.; Eid, T.; +12",Imaging synaptic density in the living human brain,Sci Transl Med,10.1126/scitranslmed.aaf6667,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3557914896/Finnema-2016-Imaging synaptic density in the l.pdf,57632
24.0,4,6,1,20,1,True,1380,Roy 2009,2009,"Roy, S.; Jayakumar, J.; Martin, P. R.; +4",Segregation of short-wavelength-sensitive (S) cone signals in the macaque dorsal lateral geniculate nucleus,Eur J Neurosci,10.1111/j.1460-9568.2009.06939.x,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0029777559/roy_etal_2009.pdf,52663
23.8,5,23,1,3,0,True,7741,Heffner 2008,2008,"Heffner, R. S.; Koay, G.; Heffner, H. E.","Sound localization acuity and its relation to vision in large and small fruit-eating bats: II. Non-echolocating species, Eidolon helvum and Cynopterus brachyotis",Hear Res,10.1016/j.heares.2008.05.001,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4283637357/Heffner-2008-Sound localization acuity and its.pdf,44474
23.8,5,13,2,5,0,True,5345,Pettigrew 1998,1998,"Pettigrew, J. D.; Manger, P. R.; Fine, S. L.",The sensory world of the platypus,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",10.1098/rstb.1998.0276,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1403327045/Pettigrew-1998-The sensory world of the platyp.pdf,57286
23.5,5,30,1,3,2,True,8159,Anton 2017,2017,"Anton, S. C.; Kuzawa, C. W.","Early Homo, plasticity and the extended evolutionary synthesis",Interface Focus,10.1098/rsfs.2017.0004,fossil hominin endocranial volume,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2714788434/Anton-2017-Early Homo, plasticity and the exte.pdf",103346
23.5,0,60,7,0,2,True,2066,Haddad 2001,2001,"Haddad, S.; Restieri, C.; Krishnan, K.",Characterization of age-related changes in body weight and organ weights from birth to adolescence in humans,J Toxicol Environ Health A,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0068801443/haddad_etal_2001.pdf,22838
23.5,0,74,4,0,1,True,5999,Deaner 2000,2000,"Deaner, R. O.; Nunn, C. L.; van Schaik, C. P.",Comparative tests of primate cognition: different scaling methods produce different results,Brain Behav Evol,10.1159/000006641,Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1486759810/Deaner-2000-Comparative tests of.pdf,47584
23.2,6,9,1,3,0,True,5670,Lyon 2002,2002,"Lyon, D. C.; Kaas, J. H.",Evidence from V1 connections for both dorsal and ventral subdivisions of V3 in three species of new world monkeys,J Comp Neurol,,Visual Cortex,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2132885248/lyon_kaas_2002.pdf,68956
23.0,6,8,2,0,0,True,1724,Boyle 2009,2009,"Boyle, S. A.; Lourenco, W. C.; da Silva, L. R.; +1",Home range estimates vary with sample size and methods,Folia Primatol (Basel),10.1159/000201092,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3254967816/Boyle-2009-Home range estimates.pdf,33630
23.0,0,70,0,11,0,True,5715,Manjunath 2002,2002,"Manjunath, K. Y.",Estimation of cranial volume - an overview of methodologies,J Anat Soc India,,Brain Size Measures,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2607343728/Manjunath_2002_jaet02i1p85.pdf,30263
23.0,0,74,0,9,0,True,903,Hevner 1995,1995,"Hevner, R. F.; Liu, S.; Wong-Riley, M. T.","A metabolic map of cytochrome oxidase in the rat brain: histochemical, densitometric and biochemical studies",Neuroscience,10.1016/0306-4522(94)00514-6,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1281944976/Hevner-1995-A metabolic map of c.pdf,74173
22.8,3,39,2,6,2,True,2602,Cantalupo 2010,2010,"Cantalupo, C.; Hopkins, W.",The cerebellum and its contribution to complex tasks in higher primates: a comparative perspective,Cortex,10.1016/j.cortex.2009.10.004,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2576387329/Cantalupo-2010-The cerebellum and i.pdf,47809
22.5,1,50,4,2,0,True,2483,Nevo 1988,1988,"Nevo, E.; Pirlot, P.; Beiles, A.",Brain Size Diversity in Adaptation and Speciation of Subterranean Mole Rats,Z Zool Syst Evol,10.1111/j.1439-0469.1988.tb00331.x,brain structure size data; Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2577737060/Nevo-1988-Brain Size Diversity.pdf,41452
22.2,1,53,2,8,1,True,2908,Sherwood 2012,2012,"Sherwood, C. C.; Bauernfeind, A. L.; Bianchi, S.; +2",Human brain evolution writ large and small,Prog Brain Res,10.1016/B978-0-444-53860-4.00011-8,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2768013137/11.pdf,70444
22.2,4,23,1,8,1,True,1395,Pontzer 2010,2010,"Pontzer, H.; Raichlen, D. A.; Shumaker, R. W.; +2",Metabolic adaptation for low energy throughput in orangutans,Proc Natl Acad Sci U S A,10.1073/pnas.1001031107,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1022963857/Pontzer--Metabolic adaptation.pdf,31985
22.2,1,69,2,2,2,True,5420,Zhang 2000,2000,"Zhang, K.; Sejnowski, T. J.",A universal scaling law between gray matter and white matter of cerebral cortex,Proc Natl Acad Sci U S A,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0399540074/Zhang_Sejnowski_2000.pdf,34054
22.2,1,57,1,7,0,True,2821,Kirkpatrick 1944,1944,"Kirkpatrick, C. M.",Body weights and organ measurements in relation to age and season in ring-necked pheasants,Anat Rec (Hoboken),10.1002/ar.1090890209,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0005631941/Kirkpatrick-1944-Body weights and org.pdf,30882
22.0,2,58,1,0,0,True,7559,Picq 2012,2012,"Picq, J. L.; Aujard, F.; Volk, A.; +1",Age-related cerebral atrophy in nonhuman primates predicts cognitive impairments,Neurobiol Aging,10.1016/j.neurobiolaging.2010.09.009,catarrhine aging brain structure data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1580833136/Picq-2010-Age-related cerebral atrophy in nonh.pdf,59001
22.0,6,10,1,0,0,True,2809,Milton 2003,2003,"Milton, K.",The critical role played by animal source foods in human (Homo) evolution,J Nutr,10.1093/jn/133.11.3886S,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3522114934/Milton-2003-The critical role pl.pdf,49691
22.0,3,40,2,0,0,True,472,Aiello 1997,1997,"Aiello, L. C.",Brains and guts in human evolution: The expensive tissue hypothesis,Braz J Genet,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1562887660/aiello_1997.pdf,41299
22.0,0,36,7,5,0,True,847,Davies 1961,1961,"Davies, M.",On body size and tissue respiration,J Cell Comp Physiol,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2086963638/davies_1961.pdf,49929
21.8,0,79,2,0,1,True,1975,Carbone 2005,2005,"Carbone, C.; Cowlishaw, G.; Isaac, N. J.; +1",How far do animals go? Determinants of day range in mammals,Am Nat,10.1086/426790,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3940522669/Carbone-2005-How far do animals g.pdf,34973
21.8,2,29,1,14,0,True,6014,Falk 2005,2005,"Falk, D.; Hildebolt, C.; Smith, K.; +7","The brain of LB1, Homo floresiensis",Science,10.1126/science.1109727,endocranial refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3026855700/falk_etal_2005.pdf; /sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4219510805/falk_2005_supp.pdf,41646
21.8,4,23,2,2,0,True,124,Robson 2004,2004,"Robson, S. L.","Breast milk, diet, and large human brains",Curr Anthropol,10.1086/420910,metabolic cost tissues,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3731054691/Robson-2004-Breast milk, diet, a.pdf",93521
21.8,3,39,2,0,0,True,2214,Nunn 2000,2000,"Nunn, C. L.; Barton, R. A.",Allometric slopes and independent contrasts: A comparative test of Kleiber's law in primate ranging patterns,Am Nat,10.1086/303405,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4213049740/Nunn-2000-Allometric slopes an.pdf,73304
21.8,1,57,5,0,3,True,5591,Plavcan 2000,2000,"Plavcan, J. M.",Inferring social behavior from sexual dimorphism in the fossil record,J Hum Evol,,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3962655579/Plavcan-2000-Inferring social beh.pdf,54486
21.8,6,7,0,4,0,True,193,McDonald 1993,1993,"McDonald, C. T.; McGuinness, E. R.; Allman, J. M.",Laminar organization of acetylcholinesterase and cytochrome oxidase in the lateral geniculate nucleus of prosimians,Neuroscience,,lgn,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1022963858/macdonald_etal_1993.pdf,37007
21.8,0,49,6,1,0,True,1462,Field 1939,1939,"Field, John, 2nd; Harwood S. Belding; Arthur W. Martin",An analysis of the relation between basal metabolism and summated tissue respiration in the rat. I. The post-pubertal albino rat,J Cellular Comp Physiol,10.1002/jcp.1030140202,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0332238282/Field_etal_1939.pdf,35145
21.8,0,65,3,2,0,True,9022,Latimer 1938,1938,"Latimer, H. B.","The weights of the brain and of its parts, of the spinal cord and of the eyeballs in the adult cat",Journal of Comparative Neurology,10.1002/cne.900680307,traits evo M1,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0628174994/Latimer-1938-The weights of the brain and of i.pdf,19695
21.5,0,60,5,0,1,True,7639,Karbowski 2012,2012,"Karbowski, J.",Approximate invariance of metabolic energy per synapse during development in mammalian brains,PLoS One,10.1371/journal.pone.0033425,brain structure metabolism data for comparing,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1806188759/Karbowski-2012-Approximate invariance of metab.pdf,53840
21.5,5,18,1,1,0,True,2769,Elston 2003,2003,"Elston, G. N.","Cortex, cognition and the cell: new insights into the pyramidal neuron and prefrontal function",Cereb Cortex,,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3726200555/elston_2003.pdf,82422
21.5,4,26,2,0,0,True,2210,Gompper 1991,1991,"Gompper, MatthewE; Gittleman, JohnL",Home range scaling: intraspecific and comparative trends,Oecologia,10.1007/BF00634589,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0613197917/Gompper-1991-Home range scaling_.pdf,30645
21.5,0,54,4,4,0,True,2820,Latimer 1967,1967,"Latimer, Homer B.",Variability in body and organ weights in the newborn dog and cat compared with that in the adult,Anat Rec (Hoboken),10.1002/ar.1091570305,metabolic cost tissues,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2398727470/Latimer-1967-Variability in body.pdf,29432
21.2,4,3,0,17,0,True,2438,Gilissen 2013,2013,"Gilissen, E. P.; Staneva-Dobrovski, L.",Distinct types of lipofuscin pigment in the hippocampus and cerebellum of aged cheirogaleid primates,Anat Rec (Hoboken),10.1002/ar.22809,cerebellum,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1704365082/Gilissen-2013-Distinct types of li.pdf,58682
21.2,6,1,2,4,2,True,8332,Quallo 2012,2012,"Quallo, M. M.; Kraskov, A.; Lemon, R. N.",The activity of primary motor cortex corticospinal neurons during tool use by macaque monkeys,J Neurosci,10.1523/JNEUROSCI.1009-12.2012,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1101513921/Quallo-2012-The activity of primary motor cort.pdf,79386
21.2,6,1,2,0,0,True,8327,Iwaniuk 2000,2000,"Iwaniuk, A. N.; Whishaw, I. Q.",On the origin of skilled forelimb movements,Trends Neurosci,10.1016/s0166-2236(00)01618-0,evo M1 reading list,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3614796609/Iwaniuk-2000-On the origin of skilled forelimb.pdf,30762
21.2,5,15,0,5,0,True,1839,Preuss 1995,1995,"Preuss, T. M.",Do rats have prefrontal cortex? The rose-woolsey-akert program reconsidered,J Cogn Neurosci,10.1162/jocn.1995.7.1.1,prefrontal,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2854618111/Preuss-1995-Do Rats Have Prefron.pdf,161962
