accepted_name,candidate_name,candidate_rank,candidate_source,auto_match,family_expected,order_expected,note
Tarsius syrichta,Tarsius syrichta,1,accepted_name,TRUE,Tarsiidae,Primates,
Tarsius syrichta,Carlito syrichta,2,display_alias,TRUE,Tarsiidae,Primates,unified name from species_display_aliases.csv
Tayassu tajacu,Tayassu tajacu,1,accepted_name,TRUE,Tayassuidae,Artiodactyla,
Tayassu tajacu,Pecari tajacu,2,verified_bridge,TRUE,Tayassuidae,Artiodactyla,collared peccary moved to Pecari (Grubb 2005)
Tenrec ecaudatus,Tenrec ecaudatus,1,accepted_name,TRUE,Tenrecidae,Afrosoricida,
Trachypithecus francoisi,Trachypithecus francoisi,1,accepted_name,TRUE,Cercopithecidae,Primates,
Tragelaphus strepsiceros,Tragelaphus strepsiceros,1,accepted_name,TRUE,Bovidae,Artiodactyla,
Tragelaphus strepsiceros,Tragelaphus stripceros,2,species_key_variant,FALSE,Bovidae,Artiodactyla,different epithet in same genus -- distinct taxon concept unless verified as a senior synonym
Triaenops persicus,Triaenops persicus,1,accepted_name,TRUE,Rhinonycteridae,Chiroptera,
Tupaia glis,Tupaia glis,1,accepted_name,TRUE,Tupaiidae,Scandentia,
Tupaia minor,Tupaia minor,1,accepted_name,TRUE,Tupaiidae,Scandentia,
Urogale everetti,Urogale everetti,1,accepted_name,TRUE,Tupaiidae,Scandentia,
Urogale everetti,Tupaia everetti,2,mdd_accepted_name,TRUE,Tupaiidae,Scandentia,Mammal Diversity Database name; Upham 2019 tips follow MDD
Ursus arctos,Ursus arctos,1,accepted_name,TRUE,Ursidae,Carnivora,
Ursus maritimus,Ursus maritimus,1,accepted_name,TRUE,Ursidae,Carnivora,
Varecia variegata,Varecia variegata,1,accepted_name,TRUE,Lemuridae,Primates,
Varecia variegata,Lemur variegatus,2,species_key_variant,TRUE,Lemuridae,Primates,"same epithet, generic reassignment (Lemur <-> Varecia)"
Vulpes zerda,Vulpes zerda,1,accepted_name,TRUE,Canidae,Carnivora,
Wallabia bicolor,Wallabia bicolor,1,accepted_name,TRUE,Macropodidae,Diprotodontia,
Zalophus californianus,Zalophus californianus,1,accepted_name,TRUE,Otariidae,Carnivora,
