table,source_group,role,specimen_code,individual_id,species_as_published,interpreted_taxon,sex,age_years,body_mass_kg,brain_mass_g,collection,section_plane,structure,measure,unit,value,percent_value,n,mean,sd,se,minimum,maximum,median,note,source
Table8,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGBp,perikaryal_volume,um3,NA,NA,19,1649,620.6,142.4,650.7,2776.9,1603.5,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBp,perikaryal_volume,um3,NA,NA,155,2261.7,1244,99.9,117.8,7679.9,2068.6,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGBm,perikaryal_volume,um3,NA,NA,35,4225.7,1655.7,279.9,424.6,7994.9,4036.2,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGBm,perikaryal_volume,um3,NA,NA,95,2634.3,1312.6,134.7,238.4,6815.2,2607.9,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGBm,perikaryal_volume,um3,NA,NA,50,4275.1,2912.7,411.9,506.7,18484.5,3993.4,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBm,perikaryal_volume,um3,NA,NA,72,6256.2,3276.9,386.2,179.1,13848.3,6338.3,NA,Armstrong__1979
Table9,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,VB,perikaryal_volume,um3,NA,NA,131,4141.8,3264.4,285.2,323.2,22939.8,3510.2,NA,Armstrong__1979
Table9,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,VB,perikaryal_volume,um3,NA,NA,155,3696.2,2956.1,237.4,179.1,13848.3,2898.1,NA,Armstrong__1979
Table9,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,VB,perikaryal_volume,um3,NA,NA,45,4424.3,4160.2,620.2,49.1,17043.5,3286.4,NA,Armstrong__1979
Table9,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,VB,perikaryal_volume,um3,NA,NA,306,5912.6,5937.1,339.4,53.1,38871.9,3889.4,NA,Armstrong__1979
Table9,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,VB,perikaryal_volume,um3,NA,NA,238,4305.9,4396.7,285,139.6,26293.7,3075.1,NA,Armstrong__1979
