Species,Variable,flag,detail
Canis latrans,Neocortex_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Bush; Reep) -- see laterality_known.csv"
Canis latrans,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Canis latrans,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Cercopithecus ascanius,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Cercopithecus mitis,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Choloepus didactylus,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Choloepus didactylus,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Neocortex_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Bush; Reep) -- see laterality_known.csv"
Choloepus didactylus,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Choloepus didactylus,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Colobus angolensis,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1 -- see laterality_known.csv"
Crocuta crocuta,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Crocuta crocuta,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Neocortex_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Bush; Reep) -- see laterality_known.csv"
Crocuta crocuta,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Crocuta crocuta,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Dasypus novemcinctus,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Dasypus novemcinctus,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Equus burchelli,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Neocortex_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Bush; Reep) -- see laterality_known.csv"
Equus burchelli,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Equus burchelli,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Erythrocebus patas,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Eumetopias jubatus,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Eumetopias jubatus,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Gorilla sp.,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Homo sapiens,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 3 teams (Bush; Stephan_collection; Zilles) -- see laterality_known.csv"
Hylobates lar,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 3 teams (Bush; Stephan_collection; Zilles) -- see laterality_known.csv"
Hylobates muelleri,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1 -- see laterality_known.csv"
Lama glama,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Lama glama,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lama glama,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Lophocebus albigena,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Macaca fascicularis,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1 -- see laterality_known.csv"
Macaca mulatta,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Mephitis mephitis,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mephitis mephitis,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Miopithecus talapoin,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Mustela nivalis,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Mustela nivalis,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Myrmecophaga tridactyla,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Neocortex_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Bush; Reep) -- see laterality_known.csv"
Myrmecophaga tridactyla,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Myrmecophaga tridactyla,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasalis larvatus,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 2 teams (Stephan_collection; Zilles) -- see laterality_known.csv"
Nasua nasua,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Cerebellum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Neocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Nasua nasua,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Cerebellum_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Ashwell; Reep) -- see laterality_known.csv"
Odocoileus virginianus,Diencephalon_excluding_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Hippocampus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Medulla_oblongata_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Mesencephalon_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Neocortex_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1; the merged value is the mean across 2 teams (Bush; Reep) -- see laterality_known.csv"
Odocoileus virginianus,Palaeocortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Schizo_cortex_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Septum_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Odocoileus virginianus,Striatum_including_globus_pallidus_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
Pan paniscus,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1 -- see laterality_known.csv"
Pan troglodytes,Corpus_geniculatum_laterale_Vol.mm3,published_bilateral_estimate,"a contributing source publishes its figure as 2x one hemisphere, doubled by the source (not by this merge): deSousa_etal_2013_Table1; the merged value is the mean across 3 teams (Bush; Stephan_collection; Zilles) -- see laterality_known.csv"
Panthera leo,Amygdala_Vol.mm3,published_bilateral_estimate,"published value is 2x one hemisphere, doubled by the source (not by this merge): Reep_etal_2007_Table1 -- see laterality_known.csv"
